type,testsubject,accuracy
dtw,danf,.81292514
dtw,janf,.92346938
dtw,lien,.94557814
dtw,maki,.96258505
dtw,marc,.86564629
dtw,mari,.69727895
dtw,mirj,.91326529
dtw,nico,.86224490
dtw,suza,.88775505
dtw,tijs,.68707495
dtw-ps,danf,.98330110
dtw-ps,janf,.99712643
dtw-ps,lien,1.00000000
dtw-ps,maki,.99690843
dtw-ps,marc,.99995686
dtw-ps,mari,.99117090
dtw-ps,mirj,1.00000000
dtw-ps,nico,.99676867
dtw-ps,suza,1.00000000
dtw-ps,tijs,.99329652
gvf,danf,.74319733
gvf,janf,.89965990
gvf,lien,.95068033
gvf,maki,.94557824
gvf,marc,.74489790
gvf,mari,.79761914
gvf,mirj,.88605424
gvf,nico,.89285719
gvf,suza,.92517005
gvf,tijs,.54081633
