subject,accuracy,Inter-user,type
dan,0.4268706667,1,dtw
jan,0.4978742143,1,dtw
lien,0.5161565,1,dtw
maki,0.13435375,1,dtw
marc,0.2950680714,1,dtw
nico,0.315901381,1,dtw
suza,0.4434524214,1,dtw
dan,0.841,0,dtw
jan,0.8886,0,dtw
lien,0.9133,0,dtw
maki,0.9422,0,dtw
marc,0.8163,0,dtw
nico,0.8571,0,dtw
suza,0.8469,0,dtw
dan,0.3769751667,1,dtw-ps
jan,0.394095631,1,dtw-ps
lien,0.403733619,1,dtw-ps
maki,0.1249687548,1,dtw-ps
marc,0.1926256381,1,dtw-ps
nico,0.301669,1,dtw-ps
suza,0.3584445238,1,dtw-ps
dan,0.9169,0,dtw-ps
jan,0.9725,0,dtw-ps
lien,0.9562,0,dtw-ps
maki,0.9605,0,dtw-ps
marc,0.967,0,dtw-ps
nico,0.9577,0,dtw-ps
suza,0.9915,0,dtw-ps
dan,0.5085034143,1,gvf
jan,0.6288265476,1,gvf
lien,0.6084183095,1,gvf
maki,0.129676831,1,gvf
marc,0.5697279048,1,gvf
nico,0.3358843262,1,gvf
suza,0.5756802381,1,gvf
dan,0.8325,0,gvf
jan,0.824,0,gvf
lien,0.8044,0,gvf
maki,0.8503,0,gvf
marc,0.824,0,gvf
nico,0.8087,0,gvf
suza,0.8537,0,gvf
