type,trainsubject,accuracy,intersubject
dtw,dan_,.85204,1
dtw,jan_,.89626,1
dtw,lien,.92092,1
dtw,marc,.81888,1
dtw,nico,.86054,1
dtw,suza,.85799,1
Dtw-ps,dan_,.91691,1
Dtw-ps,jan_,.97246,1
Dtw-ps,lien,.95621,1
Dtw-ps,marc,.96702,1
Dtw-ps,mari,.97958,1
Dtw-ps,suza,.99151,1
gvf,dan_,.79592,1
gvf,jan_,.83673,1
gvf,lien,.83673,1
gvf,marc,.84354,1
gvf,nico,.86054,1
gvf,suza,.85374,1
dtw,dan_,.47980,0
dtw,jan_,.48799,0
dtw,lien,.47906,0
dtw,marc,.49851,0
dtw,nico,.37776,0
dtw,suza,.51573,0
Dtw-ps,dan_,.40931,0
Dtw-ps,jan_,.38867,0
Dtw-ps,lien,.37029,0
Dtw-ps,marc,.46230,0
Dtw-ps,nico,.33789,0
Dtw-ps,suza,.43075,0
gvf,dan_,.59035,0
gvf,jan_,.61171,0
gvf,lien,.60374,0
gvf,marc,.62181,0
gvf,nico,.36597,0
gvf,suza,.60438,0
