type,trainsubject,accuracy,intersubject
dtw,dan_,0.58129,1
dtw,jan_,0.59881,1
dtw,lien,0.5949,1
dtw,marc,0.51939,1
dtw,nico,0.44303,1
dtw,suza,0.55272,1
dtw-ps,dan_,0.47153,1
dtw-ps,jan_,0.47959,1
dtw-ps,lien,0.45702,1
dtw-ps,marc,0.41943,1
dtw-ps,nico,0.40139,1
dtw-ps,suza,0.44081,1
gvf,dan_,0.68622,1
gvf,jan_,0.71429,1
gvf,lien,0.68469,1
gvf,marc,0.68367,1
gvf,nico,0.35204,1
gvf,suza,0.6648,1
dtw,dan_,.85204,0
dtw,jan_,.89626,0
dtw,lien,.92092,0
dtw,marc,.81888,0
dtw,nico,.86054,0
dtw,suza,.85799,0
dtw-ps,dan_,.91691,0
dtw-ps,jan_,.97246,0
dtw-ps,lien,.95621,0
dtw-ps,marc,.96702,0
dtw-ps,nico,.95767,0
dtw-ps,suza,.99151,0
gvf,dan_,.79592,0
gvf,jan_,.83673,0
gvf,lien,.83673,0
gvf,marc,.84354,0
gvf,nico,.86054,0
gvf,suza,.85374,0
