subject,dtw,dtw-ps,gvf,Inter-user
dan,0.4268706667,0.3769751667,0.5085034143,1
jan,0.4978742143,0.394095631,0.6288265476,1
lien,0.5161565,0.403733619,0.6084183095,1
maki,0.13435375,0.1249687548,0.129676831,1
marc,0.2950680714,0.1926256381,0.5697279048,1
nico,0.315901381,0.301669,0.3358843262,1
suza,0.4434524214,0.3584445238,0.5756802381,1
dan,0.841,0.9169,0.8325,0
jan,0.8886,0.9725,0.824,0
lien,0.9133,0.9562,0.8044,0
maki,0.9422,0.9605,0.8503,0
marc,0.8163,0.967,0.824,0
nico,0.8571,0.9577,0.8087,0
suza,0.8469,0.9915,0.8537,0
