subject,accuracy,type
dan,0.2998642433,dtw
jan,0.3082706623,dtw
lien,0.2502610743,dtw
maki,0.2294799629,dtw
marc,0.236215533,dtw
mari,0.210682964,dtw
mirj,0.2532894617,dtw
nico,0.272086464,dtw
suza,0.2159043444,dtw
dan,0.6925511479,dtw_ps
jan,0.7388241328,dtw_ps
lien,0.7028702356,dtw_ps
maki,0.6882678571,dtw_ps
marc,0.7024318972,dtw_ps
mari,0.6611879273,dtw_ps
mirj,0.6246770727,dtw_ps
nico,0.7833321128,dtw_ps
suza,0.7929259048,dtw_ps
dan,0.2308897237,gvf
jan,0.2463450389,gvf
lien,0.282894731,gvf
maki,0.3873224561,gvf
marc,0.3000731184,gvf
mari,0.4135338275,gvf
mirj,0.3740601374,gvf
nico,0.3965121053,gvf
suza,0.2454573772,gvf
