type,subject,0_0,45_0,90_0,0_total,45_0,45_45,45_90,45_total,90_0,90_45,90_90,90_total,Total_0,Total_45,Total_90,total_total
Dtw,dan,0.8520408571,0.4107144286,0.125,0.4625850952,0.4209182857,0.8520408571,0.119898,0.4642857143,0.125,0.3214284286,0.8188775714,0.4217686667,0.465986381,0.5280612381,0.3545918571,0.4495464921
Dtw,jan,0.8903061429,0.2704082857,0.125,0.4285714762,0.1887755714,0.8954081429,0.3392857143,0.4744898095,0.125,0.510204,0.880102,0.505102,0.4013605714,0.5586734762,0.4481292381,0.4693877619
Dtw,lien,0.8979591429,0.260204,0.130102,0.4294217143,0.2857141429,0.9285715714,0.6709182857,0.6284013333,0.125,0.6403061429,0.9132651429,0.5595237619,0.4362244286,0.6096939048,0.5714284762,0.5391156032
Dtw,maki,0.9515307143,0.6377551429,0.130102,0.5731292857,0.6683672857,0.9362244286,0.2397958571,0.6147958571,0.119898,0.1862244286,0.9387757143,0.4149660476,0.579932,0.5867346667,0.4362245238,0.5342970635
Dtw,marc,0.7704081429,0.1887757143,0.1198979571,0.3596939381,0.125,0.8188774286,0.132653,0.3588434762,0.130102,0.3928572857,0.859694,0.4608844286,0.3418367143,0.4668368095,0.370748319,0.3931406143
Dtw,mari,0.6020408571,0.2015305714,0.1071429143,0.3035714476,0.2117345714,0.5892857143,0.3520408571,0.3843537143,0.125,0.5688777143,0.834184,0.5093539048,0.3129251429,0.4532313333,0.4311225905,0.3990930222
Dtw,mirj,0.9234697143,0.3469388571,0.125,0.4651361905,0.2244897143,0.8010204286,0.2576532857,0.4277211429,0.114796,0.1785715286,0.8494898571,0.3809524619,0.4209184762,0.4421769381,0.410714381,0.4246032651
Dtw,nico,0.8775508571,0.3265307143,0.125,0.4430271905,0.6403061429,0.8647958571,0.367347,0.6241496667,0.2806122857,0.5280612857,0.8290817143,0.5459184286,0.5994897619,0.5731292857,0.4404762381,0.5376984286
Dtw,suza,0.7857141429,0.344388,0.125,0.418367381,0.4489797143,0.9107142857,0.1760204286,0.5119048095,0.117347,0.2168367143,0.8443878571,0.3928571905,0.4506802857,0.4906463333,0.3818027619,0.441043127
Dtw,tijs,0.7806122857,0.1454081429,0.125,0.3503401429,0.130102,0.8877551429,0.2933671429,0.4370747619,0.122449,0.3673468571,0.762755,0.4175169524,0.3443877619,0.4668367143,0.393707381,0.4016439524
Dtw-ps,dan,0.9491421429,0.2169498571,0.125,0.430364,0.2795898571,0.8590268571,0.126064,0.4215602381,0.1232401429,0.2420347143,0.9425472857,0.4359407143,0.450657381,0.4393371429,0.3978704286,0.4292883175
Dtw-ps,jan,0.9839421429,0.1587577143,0.125,0.422566619,0.1828452857,0.9419518571,0.156714,0.427170381,0.125,0.3087991429,0.9914772857,0.4750921429,0.4305958095,0.4698362381,0.4243970952,0.4416097143
Dtw-ps,lien,0.9729067143,0.1954117143,0.125,0.4311061429,0.2156372857,0.939141,0.5024284286,0.5524022381,0.125046,0.5215904286,0.9565815714,0.534406,0.4378633333,0.5520477143,0.5280033333,0.5059714603
Dtw-ps,maki,0.9409448571,0.4569815714,0.125,0.5076421429,0.5391947143,0.965348,0.1442912857,0.5496113333,0.1254621429,0.1441445714,0.9753367143,0.4149811429,0.5352005714,0.5221580476,0.414876,0.490744873
Dtw-ps,marc,0.9667461429,0.1323224286,0.125,0.4080228571,0.125,0.9947532857,0.1258298571,0.415194381,0.1282372857,0.2024474286,0.9395731429,0.4234192857,0.4066611429,0.443174381,0.396801,0.4155455079
Dtw-ps,mari,0.9842941429,0.1731327143,0.125,0.427475619,0.1651735714,0.962754,0.2323532857,0.4534269524,0.1252782857,0.4409592857,0.9916937143,0.5193104286,0.4249153333,0.5256153333,0.4496823333,0.4667376667
Dtw-ps,mirj,0.9379257143,0.2229112857,0.1256971429,0.4288447143,0.1500948571,0.9189081429,0.1514692857,0.4068240952,0.125,0.1555111429,0.9415171429,0.4073427619,0.4043401905,0.4324435238,0.4062278571,0.4143371905
Dtw-ps,nico,0.9626448571,0.1972892857,0.1435597143,0.4344979524,0.4558617143,0.9999538571,0.3450812857,0.6002989524,0.2235538571,0.405364,0.910425,0.5131142857,0.5473534762,0.534202381,0.4663553333,0.5159703968
Dtw-ps,suza,0.9844615714,0.170294,0.125,0.4265851905,0.1899088571,0.9969671429,0.1260124286,0.4376294762,0.125,0.1668791429,0.9931064286,0.4283285238,0.4331234762,0.4447134286,0.4147062857,0.4308477302
Dtw-ps,tijs,0.9682998571,0.151068,0.125,0.4147892857,0.1265688571,0.9439521429,0.1868341429,0.419118381,0.125,0.2256568571,0.950775,0.433810619,0.4066229048,0.4402256667,0.4208697143,0.4225727619
Gvf,dan,0.7066325714,0.7831632857,0.5331632857,0.6743197143,0.5714287143,0.9056122857,0.8188777143,0.7653062381,0.3826531429,0.7529761667,0.885204,0.66964285,0.5535714762,0.8169643,0.7457483333,0.7036290645
Gvf,jan,0.8290815714,0.7346937143,0.4234692857,0.6624148571,0.734694,0.7959185714,0.7448978571,0.7585034762,0.5178571429,0.7653061429,0.8469387143,0.710034,0.6938775714,0.7653061429,0.671768619,0.7103174444
Gvf,lien,0.7908164286,0.7372451429,0.362245,0.6301021905,0.7831632857,0.897959,0.7474488571,0.8095237143,0.5637757143,0.872449,0.7244898571,0.7202381905,0.7125851429,0.835884381,0.6113945714,0.7199546984
Gvf,maki,0.8443878571,0.8443878571,0.1964285714,0.6284014286,0.8137755714,0.8392858571,0.6020407143,0.7517007143,0.2346938571,0.5535714286,0.8673468571,0.5518707143,0.6309524286,0.745748381,0.5552720476,0.6439909524
Gvf,marc,0.7142857143,0.6887754286,0.2066324286,0.5365645238,0.5765307143,0.9132651429,0.7780611429,0.7559523333,0.270408,0.8367347143,0.8443878571,0.6505101905,0.5204081429,0.8129250952,0.6096938095,0.6476756825
Gvf,mari,0.7168368571,0.5892857143,0.2831631429,0.5297619048,0.5331632857,0.8086732857,0.5714287143,0.6377550952,0.3418367143,0.6071428571,0.7755102857,0.5748299524,0.5306122857,0.6683672857,0.543367381,0.5807823175
Gvf,mirj,0.7806121429,0.7908162857,0.2602041429,0.6105441905,0.630102,0.862245,0.8010204286,0.7644558095,0.2857141429,0.8239797143,0.8877551429,0.6658163333,0.5654760952,0.8256803333,0.6496599048,0.6802721111
Gvf,nico,0.7499998571,0.7780612857,0.5408162857,0.6896258095,0.6709184286,0.854592,0.6530611429,0.7261905238,0.5918365714,0.8214285714,0.8214287143,0.7448979524,0.6709182857,0.8180272857,0.6717687143,0.7202380952
Gvf,suza,0.8341838571,0.8061224286,0.4209182857,0.6870748571,0.8137755714,0.857143,0.7908164286,0.8205783333,0.5637755714,0.8392857143,0.869898,0.7576530952,0.737245,0.8341837143,0.6938775714,0.7551020952
Gvf,tijs,0.8214285714,0.7321427143,0.2704082857,0.6079931905,0.6250001429,0.8954081429,0.7295917143,0.75,0.3010204286,0.8316327143,0.8137755714,0.6488095714,0.5824830476,0.8197278571,0.6045918571,0.668934254
