type,subject,Totaldtw,slowdtw,fastdtw,Totaldtwps,slowdtwps,fastdtwps,Totalgvf,slowgvf,fastgvf
dtw,dan,0.4895640078,0.27142856,0.6214286,0.8659075974,0.9121358857,0.8040220857,0.5946196364,0.7275509714,0.4499999714
dtw,jan,0.5108998182,0.2811224857,0.6540816,0.8918366104,0.9406575429,0.8248585143,0.7045454935,0.8617347429,0.5265306571
dtw,lien,0.5030148312,0.2862244571,0.6306122286,0.8500725974,0.8881776,0.7887538857,0.663961013,0.8280612,0.477551
dtw,maki,0.4784323247,0.2918367714,0.5688775714,0.8221170519,0.8717407143,0.7500652286,0.739563974,0.8566326,0.6045918
dtw,marc,0.4884044675,0.2765306,0.6091836857,0.8678444286,0.9198596857,0.7973809714,0.622217039,0.7025510286,0.5336734286
dtw,mari,0.4545454935,0.2433673714,0.5647959143,0.8498303636,0.9387724286,0.7354314571,0.6602504805,0.7576530286,0.5561225143
dtw,mirj,0.468923961,0.2892857714,0.5530612,0.7783344416,0.8686972,0.6581119429,0.7068645195,0.805102,0.6061224286
dtw,nico,0.4990723377,0.2811224286,0.6346938571,0.9040436883,0.9451636571,0.8515722571,0.6945733117,0.7744897714,0.5984694571
dtw,suza,0.4960575065,0.2775509714,0.6260204571,0.898274974,0.9439564286,0.8361737714,0.7077922208,0.8627550857,0.5372449429
dtw,tijs,0.481910961,0.2821428571,0.6056122857,0.8760631429,0.9201342286,0.8141935714,0.7379406623,0.8632653429,0.6025510571
