subject;filename;corner-down-right;corner-up-right;infinity;triangle;curve-down;curve-left;curve-up;curve-right
dan;data/dan_0.dat;0.919271;0.849935;0.800259;0.581152;0.739637;0.916237;0.784516;0.937337
dan;data/dan_45.dat;0.907912;0.847742;0.721141;0.865854;0.823226;0.822997;0.753548;0.938882
dan;data/dan_90.dat;0.790757;0.835687;0.773609;0.824138;0.854194;0.942308;0.70399;0.940492
jan;data/jan_0.dat;0.859355;0.792041;0.802597;0.871355;0.745478;0.837419;0.815484;0.966452
jan;data/jan_45.dat;0.859173;0.798189;0.643411;0.777778;0.83419;0.782946;0.834625;0.857881
jan;data/jan_90.dat;0.851804;0.829897;0.746134;0.797599;0.803364;0.883333;0.850708;0.863402
lien;data/lien_0.dat;0.782216;0.900645;0.88;0.829016;0.717982;0.86658;0.879845;0.771318
lien;data/lien_45.dat;0.805161;0.912371;0.829897;0.86747;0.750323;0.902062;0.826425;0.934194
lien;data/lien_90.dat;0.811538;0.775194;0.762274;0.761986;0.676546;0.882429;0.779639;0.794308
maki;data/maki_0.dat;0.88716;0.868217;0.84129;0.847079;0.780362;0.891613;0.801813;0.806995
maki;data/maki_45.dat;0.786546;0.78553;0.824903;0.801382;0.76615;0.901028;0.80207;0.858065
maki;data/maki_90.dat;0.879377;0.83053;0.885863;0.789655;0.644703;0.790968;0.686934;0.789883
marco;data/marco_0.dat;0.862338;0.891076;0.903101;0.931579;0.854881;0.86511;0.885333;0.905013
marco;data/marco_45.dat;0.863578;0.912371;0.887742;0.931035;0.722721;0.904884;0.948586;0.92487
marco;data/marco_90.dat;0.879022;0.798189;0.906049;0.945017;0.904215;0.894194;0.889602;0.951031
nico;data/nico_0.dat;0.839332;0.801556;0.882581;0.860104;0.748705;0.85214;0.891473;0.917949
nico;data/nico_45.dat;0.789203;0.914729;0.918605;0.797599;0.853093;0.866753;0.903599;0.938065
nico;data/nico_90.dat;0.866324;0.820645;0.910853;0.855918;0.597686;0.866667;0.706339;0.920513
suza;data/suzanne_0.dat;0.860465;0.910644;0.895225;0.936426;0.758755;0.922674;0.876963;0.906977
suza;data/suzanne_45.dat;0.861004;0.911425;0.955959;0.881034;0.749035;0.919585;0.924262;0.928849
suza;data/suzanne_90.dat;0.883333;0.935317;0.878396;0.889845;0.700777;0.946223;0.900388;0.90815
mirj;data/mirjam_0.dat;0.643678;0.645455;0.64332;0.611684;0.680934;0.618557;0.610104;0.690722
mirj;data/mirjam_45.dat;0.694696;0.75353;0.677043;0.634483;0.722798;0.722438;0.718147;0.786736
mirj;data/mirjam_90.dat;0.816195;0.804878;0.685897;0.733564;0.642766;0.78784;0.67009;0.753264
mari;data/marije_0.dat;0.790173;0.867974;0.774629;0.691203;0.745383;0.86166;0.759085;0.692617
mari;data/marije_45.dat;0.802057;0.768924;0.706493;0.757522;0.692105;0.769737;0.779392;0.750685
mari;data/marije_90.dat;0.682581;0.768638;0.786822;0.795139;0.759115;0.678899;0.723295;0.760618
