filname,subject,session,g1,g2,g3,g4,g5,g6,g7,g8,accuracy,w,at,alpha
data/dan_0.dat,dan_,1,0.939732,0.858093,0.84,0.703593,0.96,0.94702,0.940265,0.912946,0.887706,20,0.2,0.1
data/jan_0.dat,jan_,1,0.882743,0.861233,0.904444,0.891176,0.862528,0.880531,0.909292,0.845133,0.879635,20,0.2,0.1
data/lien_0.dat,lien,1,0.900442,0.89823,0.969027,0.91716,0.853659,0.828889,0.869469,0.924612,0.895186,20,0.2,0.1
data/maki_0.dat,maki,1,0.931111,0.926991,0.880531,0.893805,0.884956,0.957965,0.855876,0.953333,0.910571,20,0.2,0.1
data/marco_0.dat,marc,1,0.922049,0.900901,0.909091,0.858859,0.889391,0.875278,0.904328,0.891156,0.893882,20,0.2,0.1
data/nico_0.dat,nico,1,0.931718,0.893333,0.942478,0.813609,0.831111,0.873333,0.873894,0.927473,0.885869,20,0.2,0.1
data/suzanne_0.dat,suza,1,0.924444,0.898649,0.843537,0.870588,0.873333,0.908072,0.903587,0.915743,0.892244,20,0.2,0.1
data/mirjam_0.dat,mirj,1,0.794311,0.868597,0.842222,0.882006,0.875556,0.871965,0.864444,0.915929,0.864379,20,0.2,0.1
data/marije_0.dat,mari,1,0.908884,0.88565,0.919169,0.87963,0.900227,0.92517,0.986143,0.90553,0.9138,20,0.2,0.1
data/dan_0.dat,dan_,1,0.941964,0.886918,0.811111,0.625749,0.966667,0.96468,0.964602,0.955357,0.889631,20,0.2,0.2
data/jan_0.dat,jan_,1,0.940265,0.933921,0.911111,0.929412,0.880266,0.938053,0.933628,0.933628,0.925036,20,0.2,0.2
data/lien_0.dat,lien,1,0.909292,0.924779,0.988938,0.946746,0.86031,0.904444,0.896018,0.957871,0.92355,20,0.2,0.2
data/maki_0.dat,maki,1,0.94,0.951327,0.867257,0.929204,0.918142,0.962389,0.882483,0.968889,0.927461,20,0.2,0.2
data/marco_0.dat,marc,1,0.944321,0.963964,0.951219,0.90991,0.900677,0.893096,0.908884,0.931973,0.925506,20,0.2,0.2
data/nico_0.dat,nico,1,0.951542,0.92,0.942478,0.852071,0.808889,0.833333,0.926991,0.949451,0.898094,20,0.2,0.2
